"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"38","Debco Premium Potting Mix 10L",NA,"Raels L Pisciotta",NA,"5.0 out of 5 stars","Verified Purchase","Good quality potting mix"
"39","Debco Premium Potting Mix 10L",NA,"Eva",NA,"5.0 out of 5 stars","Verified Purchase","No better value than this anywhere!!!"
"40","Debco Premium Potting Mix 10L",NA,"Amazon Customer",NA,"5.0 out of 5 stars",NA,"Very good product"
"41","Debco Premium Potting Mix 10L",NA,"SusanT",NA,"4.3 out of 5 stars","Verified Purchase","Was concerned that soil would not be to a high standard but it was superior to what I expected!"
"42","Debco Premium Potting Mix 10L",NA,"Larrykin",NA,"5.0 out of 5 stars","Verified Purchase","Plants get real nutrients"
"43","Debco Premium Potting Mix 10L",NA,"Sandra Hillesheim",NA,"3.0 out of 5 stars","Verified Purchase","Great value"
"44","Debco Premium Potting Mix 10L",NA,"Char",NA,"5.0 out of 5 stars","Verified Purchase","Thought I was ordering a large bag but this was quite smaller than expected"
"45","Debco Premium Potting Mix 10L",NA,"Tejal soneji",NA,"5.0 out of 5 stars","Verified Purchase","I received months ago and still using.  I have no complain to make, probably I would have been lucky.  No gnats so far even in my remaining mix.  I am not an gardening expert.  I have used many other so called premium mixes from Bunnings Australia.  Even though none had flies / gnats, came in different sized materials and soft organic elements.  This too is similar.  My concern and weakness is over watering.  But managed to keep plants healthy.  This did not give any special growth to my plants, therefore I had to feed the potting mix with small amount nutrients.  Yes I had bought some cheap mixes that had flies/gnats, which lead to quick infestation of gnats."
"46","Debco Premium Potting Mix 10L",NA,"Sue3181",NA,"5.0 out of 5 stars","Verified Purchase","Used same day as delivered so ordered more. I have a lge 25l bag in garage that's been there for months simply because is too heavy to move to garden and then lift etc. 👍😊"
"47","Debco Premium Potting Mix 10L",NA,"Sydneysider",NA,"5.0 out of 5 stars",NA,NA
"48","Debco Premium Potting Mix 10L",NA,"Movie Queen",NA,"5.0 out of 5 stars",NA,NA
"49","Debco Premium Potting Mix 10L",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"50","Debco Premium Potting Mix 10L",NA,NA,NA,NA,NA,NA
