"","Product","Name","Date","IndividualRating","Review"
"1","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","mae","Reviewed in Australia on 26 December 2023","4.3 out of 5 stars","        The pieces were too tight at the tips. Looked great on but just too tightly fitted. Maybe I got a child’s one?  "
"2","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Derdep","Reviewed in Australia on 8 December 2023","5.0 out of 5 stars","        The quality of these are good considering the price. My only complaint is that they hurt the area behind your ears after wearing them or a long period of time. However most headbands are like this and the quality it still good for how much u get.  "
"3","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Diana Ridley","Reviewed in Australia on 15 December 2023","3.0 out of 5 stars","        I only use two of them that came in the packet because the rest are not as comfortable. It is also uncomfortable when you lay down on your side. The black paint peeled off my most used one in a lot of area but ultimately I use it everyday and it is very handy at keeping my hair out of my face.  "
"4","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","kelly","Reviewed in Australia on 16 July 2023","4.0 out of 5 stars","        Okay  "
"5","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Seyyid B.","Reviewed in Australia on 22 January 2023","4.0 out of 5 stars","        Great selection for all different hair thicknesses  "
"6","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Eddy Dasilva","Reviewed in Australia on 7 February 2023","4.0 out of 5 stars","        Light weight headbands, with various varieties that rest on my hair well.  The backings do not dig in as much as metal ones.  I can wear it comfortably for working day and great for exercising as they don't slip off.  "
"7","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Peta ","Reviewed in Australia on 10 December 2022","4.0 out of 5 stars","        everyday all day wear, they do not more once in your hair! Love them!  "
"8","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Marina Gambelli","Reviewed in Australia on 18 March 2021","4.0 out of 5 stars","        Kind of loose fitting/ too big. Good value and comfortable though (when it stays on).  "
"9","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Exsquezzme","Reviewed in Australia on 19 October 2021","4.0 out of 5 stars","        I purchased these to keep my hair from falling into my eyes when doing housework and things in the garden. They do the job well.  "
"10","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Yu Jung","Reviewed in Australia on 25 July 2021","4.0 out of 5 stars","        Arrived fast through amazon prime. 6 different styles, easy to wear, light, does the job.  "
"11","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Amazon Customer","Reviewed in Australia on 7 January 2021","4.0 out of 5 stars",NA
"12","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Emily Lim","Reviewed in Australia on 21 April 2021","4.0 out of 5 stars",NA
"13","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","mae","Reviewed in Australia on 26 December 2023","4.3 out of 5 stars","        good quality but affordable and delivered fast  "
"14","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","Derdep","Reviewed in Australia on 8 December 2023","5.0 out of 5 stars","        Good group of hair of accessories to test what works for one’s hair type and preferred styles.  For my preferred hairstyles,  I found that two of the metal hair bands are excellent, two are OK, and the final two are designed for thicker hair than mine (good for gifts).  The headbands were a little stiff at first but softened after a couple gym outings and washes.  Now are very comfortable and functional.  Overall, well worth the price I paid.  "
"15","Lurrose 6Pcs Unisex Wavy Headband Metal Hair Hoop Ordinary Headwear Hair Accessories for Women and Men","mae","Reviewed in Australia on 26 December 2023","3.0 out of 5 stars","        Doesn't hurt my head like others  "
